records,throughput,memory_bytes,adds,modifies,cancels,trades,fills,add_p50_ns,add_p99_ns,add_p999_ns,modify_p50_ns,modify_p99_ns,modify_p999_ns,cancel_p50_ns,cancel_p99_ns,cancel_p999_ns,trade_p50_ns,trade_p99_ns,trade_p999_ns,fill_p50_ns,fill_p99_ns,fill_p999_ns
155000000,5589773,195279608,470812,0,488291,23474,17423,80,371,511,0,0,0,110,541,781,20,40,60,110,501,612
156000000,5657215,195279608,470514,0,494517,20559,14410,70,351,511,0,0,0,110,541,811,20,41,60,110,541,811
157000000,5595580,195279608,474711,0,489113,20956,15220,80,370,500,0,0,0,110,541,811,20,40,50,110,491,641
158000000,5666338,195279608,477467,0,488895,20124,13514,70,361,501,0,0,0,110,541,812,20,41,51,110,541,701
159000000,5700325,195279608,475631,0,488963,20901,14505,61,350,481,0,0,0,110,541,831,20,50,61,110,551,702
160000000,5628648,195279608,473665,0,488008,22671,15656,70,370,501,0,0,0,110,541,771,20,40,50,110,511,632
161000000,5564109,195279608,473197,0,488274,22767,15762,70,361,501,0,0,0,111,551,792,20,40,51,110,531,871
162000000,5607859,195279608,472878,0,488563,22927,15632,70,351,501,0,0,0,110,551,802,20,40,50,110,551,722
163000000,5310854,195279608,450982,0,504993,26342,17683,91,371,511,0,0,0,111,571,831,20,40,50,110,461,601
164000000,5441898,195279608,467164,0,480353,31091,21392,110,380,511,0,0,0,111,561,821,20,40,50,110,491,671
165000000,5563831,195279608,479115,0,471741,28598,20546,110,361,511,0,0,0,110,551,822,20,40,50,110,501,681
166000000,5591544,195279608,484851,0,477584,22420,15145,110,380,541,0,0,0,110,541,791,20,40,60,101,531,3537
167000000,5631483,195279608,476858,0,485423,21890,15829,70,361,501,0,0,0,110,541,772,20,40,50,110,571,871
168000000,5585379,195279608,475569,0,487102,21876,15453,90,361,501,0,0,0,110,531,791,20,41,51,110,481,652
169000000,5536824,195279608,475453,0,487620,21123,15804,71,371,511,0,0,0,111,551,801,20,41,50,110,541,692
170000000,5606496,195279608,481270,0,486840,18576,13314,71,361,501,0,0,0,110,541,782,20,40,50,110,491,771
171000000,5628222,195279608,477728,0,488970,19381,13921,70,361,501,0,0,0,110,541,802,20,41,60,110,511,752
172000000,5635112,195279608,477780,0,489921,19008,13291,70,381,531,0,0,0,111,541,792,20,40,50,110,511,822
173000000,5704472,195279608,474236,0,487976,21861,15927,70,361,501,0,0,0,110,531,751,20,40,50,110,481,621
174000000,5479254,195279608,474599,0,487725,21391,16285,80,381,511,0,0,0,111,551,801,20,40,41,110,531,651
175000000,5607610,195279608,476995,0,489057,19958,13990,71,360,511,0,0,0,110,541,791,20,40,60,110,542,781
176000000,5633835,195279608,477119,0,488864,19970,14047,71,361,491,0,0,0,110,541,792,20,41,50,110,541,662
177000000,5615612,195279608,477388,0,489677,19394,13541,80,370,501,0,0,0,110,531,751,20,50,60,110,461,571
178000000,5632429,195279608,476583,0,490625,19075,13717,70,360,511,0,0,0,110,531,771,20,50,60,110,501,671
179000000,5620845,195279608,478161,0,490549,18101,13189,70,351,511,0,0,0,110,541,791,20,40,60,110,541,731
180000000,5531776,195279608,474659,0,488819,21217,15305,71,361,501,0,0,0,111,551,802,20,41,50,110,561,902
181000000,5531145,195279608,474949,0,488730,20989,15332,80,361,521,0,0,0,111,551,802,20,41,50,110,541,682
182000000,5627948,195279608,473734,0,487779,22353,16134,70,361,501,0,0,0,110,551,801,20,40,51,110,441,682
183000000,5492903,195279608,474007,0,489937,20985,15071,70,351,491,0,0,0,111,551,802,20,40,60,110,551,612
184000000,5518360,195279608,475760,0,489005,20619,14616,70,370,521,0,0,0,110,561,811,20,41,60,110,601,771
185000000,5517776,195279608,477168,0,489544,19651,13637,80,361,511,0,0,0,110,551,811,20,40,51,110,552,742
186000000,5581177,195279608,477981,0,489578,19006,13435,80,371,521,0,0,0,110,541,791,20,50,51,110,471,631
187000000,5549147,195279608,475743,0,489551,20425,14281,71,361,511,0,0,0,110,551,821,20,40,50,110,521,781
188000000,5568359,195279608,476433,0,489832,19505,14230,80,361,511,0,0,0,111,541,782,20,40,50,110,541,841
189000000,5495626,195279608,473810,0,487641,22495,16054,61,371,541,0,0,0,111,561,801,20,40,50,110,551,741
190000000,5432281,195279608,477620,0,489905,19029,13446,71,351,521,0,0,0,111,561,841,20,40,60,110,471,741
191000000,5503060,195279608,476809,0,490890,18920,13381,70,360,501,0,0,0,111,551,791,20,40,50,110,451,592
192000000,5520906,195279608,475163,0,489801,20565,14471,70,361,491,0,0,0,111,561,812,20,41,50,110,541,711
193000000,5600659,195279608,477411,0,490030,19299,13260,70,371,511,0,0,0,110,541,792,20,40,60,110,501,601
194000000,5570284,195279608,476706,0,491447,18605,13242,70,361,511,0,0,0,110,551,801,20,41,50,110,551,621
195000000,5570170,195279608,479529,0,491476,17033,11962,70,351,501,0,0,0,111,551,801,20,50,50,110,521,671
196000000,5655344,195279608,480842,0,492526,15703,10929,70,360,501,0,0,0,110,541,771,20,50,60,110,601,761
197000000,5686453,195279608,478945,0,491790,17166,12099,61,360,521,0,0,0,110,541,801,20,41,60,110,431,751
198000000,5729223,195279608,478148,0,490557,18449,12846,60,340,491,0,0,0,110,541,801,20,40,50,110,551,731
199000000,5544696,195279608,476997,0,494325,16625,12053,61,351,501,0,0,0,111,551,802,20,40,50,110,541,781
200000000,5647806,195279608,479324,0,491455,17077,12144,61,361,501,0,0,0,110,541,801,20,40,50,110,521,591
201000000,5738440,195279608,477303,0,491354,17807,13536,60,340,501,0,0,0,110,551,781,20,40,50,110,551,712
202000000,5681136,195279608,479007,0,491000,17704,12289,60,360,501,0,0,0,110,541,792,20,40,60,110,602,822
203000000,5720910,195279608,478206,0,491851,17430,12513,61,361,511,0,0,0,110,531,771,20,40,51,110,491,751
204000000,5653573,195279608,478895,0,492317,16725,12063,70,351,491,0,0,0,110,541,761,20,41,50,110,441,741
205000000,5679336,195279608,477437,0,492456,17681,12426,61,350,501,0,0,0,110,541,801,20,40,51,110,531,682
206000000,5641871,195279608,479000,0,492096,17062,11842,70,351,511,0,0,0,110,531,801,20,40,51,110,501,611
207000000,5596152,195279608,476971,0,491539,18587,12903,61,361,501,0,0,0,111,541,782,20,40,50,110,491,681
208000000,5617617,195279608,477843,0,491671,17921,12565,60,351,521,0,0,0,111,551,792,20,40,60,110,531,751
209000000,5731742,195279608,478480,0,491585,17358,12577,60,351,521,0,0,0,110,541,761,20,40,50,110,470,4699
210000000,5715391,195279608,479645,0,488410,18753,13192,60,351,491,0,0,0,110,541,792,20,40,50,110,541,612
211000000,5600298,195279608,475347,0,492947,18450,13256,60,341,501,0,0,0,111,551,801,20,40,50,110,541,632
212000000,5689965,195279608,477853,0,491657,17662,12828,60,361,521,0,0,0,110,541,792,20,40,60,110,511,631
213000000,5685566,195279608,479194,0,490256,17790,12760,61,360,511,0,0,0,110,531,791,20,41,60,110,511,821
214000000,5676077,195279608,479833,0,492687,16235,11245,61,361,491,0,0,0,110,531,761,20,50,60,110,521,581
215000000,5770962,195279608,478587,0,492374,17052,11987,60,350,541,0,0,0,110,541,782,20,40,50,110,471,581
216000000,5643635,195279608,476462,0,490646,19037,13855,60,350,491,0,0,0,110,551,801,20,40,50,110,501,602
217000000,5634527,195279608,478170,0,490130,18432,13268,70,361,520,0,0,0,110,551,811,20,50,60,110,541,722
218000000,5663126,195279608,478126,0,492097,17638,12139,61,361,511,0,0,0,111,531,791,20,41,60,110,461,581
219000000,5649414,195279608,478975,0,490934,17738,12353,60,360,501,0,0,0,111,541,792,20,40,60,110,511,651
220000000,5528097,195279608,475793,0,490928,19298,13981,60,350,511,0,0,0,111,561,802,20,40,50,111,551,632
221000000,5660783,195279608,479115,0,491260,17429,12196,70,361,501,0,0,0,110,531,772,20,41,50,110,612,821
222000000,5623644,195279608,480173,0,493241,15778,10808,61,360,521,0,0,0,111,541,791,20,41,50,110,510,561
223000000,5681820,195279608,480268,0,491679,16513,11540,60,350,521,0,0,0,111,541,801,20,40,50,110,451,561
224000000,5646163,195279608,479306,0,492830,16136,11728,60,350,501,0,0,0,111,541,811,20,41,50,110,471,651
225000000,5703047,195279608,478861,0,493306,16388,11445,60,360,511,0,0,0,111,531,762,20,41,50,110,541,772
226000000,5835688,195279608,480218,0,492688,16116,10978,60,331,510,0,0,0,110,541,762,20,50,51,110,481,621
227000000,5750790,195279608,478946,0,491768,17297,11989,60,350,521,0,0,0,110,541,781,20,41,60,110,541,731
228000000,5722724,195279608,479033,0,491722,17290,11955,60,341,491,0,0,0,110,551,822,20,41,50,110,441,602
229000000,5847374,195279608,478793,0,492892,16287,12028,60,330,501,0,0,0,110,541,792,20,41,50,110,481,621
230000000,5748807,195279608,477448,0,492396,17713,12443,60,341,501,0,0,0,110,531,771,20,41,60,110,451,632
231000000,5760359,195279608,478343,0,491705,17659,12293,60,350,491,0,0,0,111,531,782,20,40,50,110,551,711
232000000,5559084,195279608,474368,0,491316,19267,15049,61,351,491,0,0,0,111,552,801,20,40,50,110,551,832
233000000,5652007,195279608,481099,0,491581,15984,11336,70,361,511,0,0,0,110,541,782,20,50,50,110,471,641
234000000,5630389,195279608,477910,0,492376,17058,12656,70,371,501,0,0,0,110,541,801,20,40,60,110,531,731
235000000,5692224,195279608,478233,0,490323,18427,13017,60,351,501,0,0,0,110,541,771,20,40,51,110,651,792
236000000,5746521,195279608,476786,0,491195,18389,13630,60,341,501,0,0,0,110,541,792,20,40,50,110,551,621
237000000,5680194,195279608,476864,0,490593,19175,13368,70,360,531,0,0,0,110,541,781,20,40,50,110,541,661
238000000,5707500,195279608,478722,0,494425,15720,11133,60,351,511,0,0,0,110,541,792,20,41,50,110,421,571
239000000,5691747,195279608,478876,0,489687,18443,12994,61,361,511,0,0,0,110,541,791,20,40,50,110,561,671
240000000,5783370,195279608,478418,0,490594,18315,12673,60,341,491,0,0,0,110,541,802,20,41,60,110,591,761
241000000,5776782,195279608,478191,0,491034,18228,12547,60,341,501,0,0,0,110,531,772,20,41,60,110,481,621
242000000,5672640,195279608,477095,0,490036,19202,13667,60,361,501,0,0,0,111,541,792,20,40,50,110,582,792
243000000,5673521,195279608,476223,0,491236,18735,13806,60,351,511,0,0,0,111,551,782,20,40,50,110,541,852
244000000,5679835,195279608,476548,0,490926,18778,13748,60,361,511,0,0,0,110,541,791,20,40,50,110,541,681
245000000,5706913,195279608,475647,0,489503,20062,14788,60,361,511,0,0,0,110,541,821,20,40,50,110,531,701
246000000,5657713,195279608,474878,0,488621,20998,15503,60,361,511,0,0,0,111,551,812,20,41,51,110,531,682
247000000,5648641,195279608,476180,0,490253,19425,14142,70,371,521,0,0,0,110,531,812,20,40,50,110,501,671
248000000,5675650,195279608,478916,0,490829,17744,12511,60,360,491,0,0,0,110,541,792,20,40,50,110,541,721
249000000,5691036,195279608,477452,0,489560,19345,13643,60,360,521,0,0,0,110,541,781,20,40,60,110,541,721
250000000,5545816,195279608,475705,0,492023,18623,13649,70,351,491,0,0,0,111,551,821,20,41,50,110,541,722
251000000,5503255,195279608,475997,0,490757,18581,14665,70,351,511,0,0,0,111,561,841,20,40,60,110,581,711
252000000,5595555,195279608,482696,0,492347,14329,10628,70,361,511,0,0,0,111,541,791,20,50,60,110,461,591
253000000,5515855,195279608,477354,0,492555,17423,12668,60,351,501,0,0,0,111,561,831,20,41,60,110,561,681
